Title;Link;Rating;Description;Price;Time
Raheem's Kulcha Nahari;/lucknow/raheems-kulcha-nahari-chowk/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;Lucknowi, Kebab, Biryani, Mughlai, North Indian;₹350 for one;
Amritsar 0 Km;/lucknow/amritsar-0-km-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;South Indian, Chinese, Mughlai, Fast Food, Beverages, Desserts;₹350 for one;
Bikkgane Biryani;/lucknow/bikkgane-biryani-aashiana/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;Biryani, Hyderabadi, Andhra, North Indian, Mughlai;₹350 for one;
KFC;/lucknow/kfc-1-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.4;Burger, Fast Food, Rolls;₹200 for one;
Courtyard Mashaal By The Carlton Hotel;/lucknow/courtyard-mashaal-by-the-carlton-hotel-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;North Indian, Mughlai, Chinese, Continental, Biryani, Rolls, Desserts, Beverages;₹200 for one;
Rollarappaa;/lucknow/rollarappaa-sapru-marg/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;Rolls;₹200 for one;
Wat-a-Burger! - India ka Burger;/lucknow/wat-a-burger-india-ka-burger-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;Burger, Wraps, Fast Food, Desserts, Sandwich, Beverages;₹200 for one;
Cafe Lilli;/lucknow/cafe-lilli-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;North Indian, Chinese, Continental, Mughlai, Beverages;₹200 for one;
Ranjan Snack Foods;/lucknow/ranjan-snack-foods-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;North Indian, Chinese, South Indian, Fast Food, Street Food, Desserts, Beverages;₹200 for one;
Sher E Punjab Hotel;/lucknow/sher-e-punjab-hotel-charbagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;North Indian, Mughlai, Seafood, Beverages;₹200 for one;
Redan A House Of Mandi;/lucknow/redan-a-house-of-mandi-aminabad/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;Mandi, North Indian;₹200 for one;
Kitchen Garage;/lucknow/kitchen-garage-aminabad/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;Chinese, Sandwich, Burger, Pasta, Fast Food, Biryani, Pizza, Beverages;₹200 for one;
Urban Smoky Cafe & Lounge;/lucknow/urban-smoky-cafe-lounge-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.7;Chinese, North Indian, Biryani, Mughlai, Burger, Pizza, Sandwich, Fast Food;₹200 for one;
High On Diet;/lucknow/high-on-diet-kaiserbagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.4;Healthy Food, Salad, Fast Food;₹200 for one;
Hotel Shelter;/lucknow/hotel-shelter-1-charbagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.2;Chinese, Mughlai, Fast Food, Beverages;₹200 for one;
Dine Out City (DOC);/lucknow/dine-out-city-doc-aliganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;North Indian, Chinese, Pizza, Mexican, Asian, Japanese, Thai, Sushi;₹300 for one;
Colours - Royal Cafe;/lucknow/colours-royal-cafe-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;North Indian, Chinese, Continental, Italian, Oriental, Biryani, Desserts, Beverages;₹300 for one;
The House 21;/lucknow/the-house-21-mahanagar/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;Arabian, Mughlai, Mandi, Desserts, Beverages;₹300 for one;
Daal Mein Kala;/lucknow/daal-mein-kala-1-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;North Indian, Mughlai, Biryani;₹300 for one;
Hons  All Day Dining;/lucknow/hons-all-day-dining-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;Cafe, Coffee, Tea, Shake, Beverages, Continental, Italian, Salad;₹300 for one;
Mother’s Kitchen;/lucknow/mothers-kitchen-aishbagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;Lucknowi, North Indian, Beverages;₹300 for one;
La Pino'z Pizza;/lucknow/la-pinoz-pizza-1-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;Pizza, Italian, Pasta, Fast Food;₹300 for one;
Burger Point;/lucknow/burger-point-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.7;Burger, Sandwich, Wraps, Fast Food, Pizza, Shake, Beverages;₹300 for one;
Non Veg Junction;/lucknow/non-veg-junction-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.7;North Indian, Biryani, Seafood, Street Food, Rolls;₹300 for one;
Kukdu Ku Chicken;/lucknow/kukdu-ku-chicken-1-aashiana/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;North Indian, Chinese, Mughlai, Biryani, Fast Food;₹300 for one;
Spicy Hub;/lucknow/spicy-hub-aashiana/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;North Indian, South Indian, Chinese, Mughlai, Fast Food, Beverages, Ice Cream;₹300 for one;
Al - Baike - Arabecue;/lucknow/al-baike-arabecue-chowk/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;North Indian, Pizza, Burger, Fast Food;₹300 for one;
1936 - Saraca Lucknow;/lucknow/1936-saraca-lucknow-sapru-marg/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;-;Beverages, Desserts, Italian;₹1,450 for one;
Uncle Fish Fry;/lucknow/uncle-fish-fry-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.8;North Indian, Fast Food;₹150 for one;
Punjabi Dhaba;/lucknow/punjabi-dhaba-charbagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.6;North Indian, Mughlai;₹150 for one;
